score,height (cm),climbing length,age
1153.8,164,19,29
1123,162,9,17
1115.3,,19,21
1115.3,,16,21
1115,165,2022,25
1090.9,170,23,27
1085.6,,2022,2022
1085.5,158,38,38
1085,164,20,35
1082.1,158,18,25
1081,,2022,21
1077.1,153,23,25
1065.3,162,20,32
1065,170,14,27
1055.6,168,2022,34
1050,175,18,25
1045.6,157,17,25
1040,,2022,26
1025.3,157,2022,21
1025.3,174,22,50
1025,166,22,32
1025,165,2022,2022
1020,155,6,22
1020,165,11,21
1020,167,2022,32
1015,170,16,23
1010,163,2022,2022
1010,160,22,44
1010,,10,19
1010,164,16,28
1006.2,181,17,35
1005.3,165,6,20
1005.3,,25,34
1005,161,16,30
1000.8,160,13,34
1000.7,164,9,2022
1000.6,165,14,21
995.8,,2022,2022
995.3,,2022,28
995.3,162,16,22
995,160,16,38
993.6,,8,14
990.4,,15,25
988.8,167,6,25
985.3,168,22,28
985.2,162,28,43
985,,25,46
985,171,16,25
985,,8,22
985,,25,2022
981.1,,2022,31
980,,20,2022
976,,5,15
975.6,163,2022,20
975.6,165,24,48
975.2,168,10,26
975.1,167,14,24
975,,5,19
975,169,17,25
974.7,147,8,19
974,157,23,39
970.2,165,14,34
970,170,23,36
970,160,25,35
970,157,14,34
970,163,20,44
969.8,158,10,17
969.8,155,26,30
969.7,162,27,32
968.8,158,42,61
966.2,,2022,24
965.6,,2022,2022
965.4,,17,23
965.3,,17,22
965,163,2022,2022
965,160,23,47
965,163,10,34
960.7,,2022,32
960.6,164,24,44
960.3,163,21,33
960.3,175,9,21
960.3,172,14,26
960,178,19,33
960,,2022,2022
960,167,11,40
960,,10,23
960,152,2022,29
960,170,6,28
955.7,160,21,43
955.5,162,5,22
955.3,163,20,36
955.3,166,17,26
955.3,,14,34
955.3,160,10,22
955,158,6,20
955,172,10,32
950.6,,10,19
950.5,169,10,21
950.3,170,2022,35
950.2,162,13,28
950.2,,2022,32
950,151,12,33
948.8,145,26,45
946.2,,20,25
945.7,,2022,22
945.6,,2022,2022
945.6,163,11,21
945.5,163,17,18
945.3,161,10,26
945.3,162,11,31
945.3,,25,38
945.2,168,15,32
945.2,,13,2022
945,173,9,32
945,174,23,39
945,158,10,37
944.7,154,12,19
940.6,160,16,38
940.3,168,14,39
940.2,144,10,20
940,,11,33
940,161,15,25
935.6,172,17,22
935.6,158,2022,2022
935.3,,2022,37
935.3,,2022,43
935.3,,7,2022
935,157,2022,2022
935,150,19,43
935,152,27,43
934.1,,19,35
930.5,158,2022,2022
930.5,,2022,2022
930.3,159,11,18
930.3,169,10,34
930.3,,2022,25
930.3,157,13,35
930.3,,2022,29
930,,2022,20
930,168,13,2022
930,160,16,30
930,,18,39
930,157,14,33
930,152,22,28
926,165,14,34
925.6,,2022,2022
925.3,,2022,27
925.3,161,21,36
925,162,12,25
925,156,22,49